CD40;CG 40
CA64;Chambre agriculture 64
SYSDAU;SYSDAU1
DREAL;DREAL2
ENSAP;ENSAP Bordeaux
SIRTAQUI;SIRTAQUI2
DDT47;DDT_47;DDT 47
RAUDIN;RAUDIN2
GRDF;GRDF1
CCVA;CC_VAL_ALBRET;CDC Val d Albret
SNIA;SNIA5
DFCIAQ;ARDFCI
EPIDROPT;EPIDROPT1
CD33;CG 33
GPMB;GPMB
GIPPQA;GIP_PQA;GIP PQA
CA33;Chambre agriculture 33
PGB;Pays du Grand Bergeracois
CCMEZ;CC_MEZINAIS;CDC du Mézinais
CEN;CEN Aquitaine
IMP;IMPOTS_LAST1;IMPOTS_LAST
GIP;GIP ATGeRi
CCPRAY;CC_PRAYSSAS;CDC Prayssas
CAP;CA_PERIGOURDINE;CA Perigueux
CRA;CR Aquitaine
CCPIEMONT;CDC Piémont Oloronais
CCBG;CDC Bourg en Gironde;CC_BOURG_GIRONDE
MEZIN;Commmune de Mézin
CD47;CG 47
SDIS64;SDID 64;LOGOSDIS64
DRAAF;DRAAF2
SDIS24;SDIS 24;LOGOSDIS241
CD64;CG 64
INSEE;INSEE2
PARC;PARC4
DDT24;DDT 24
FDP33;FD pêche 33
CAGRANDDAX;CA Grand Dax
CAGV;CA Grand Villeneuvois
STMOR;SAINT_MORILLON2;SAINT_MORILLON
SDIS33;SDIS 33;LOGOSDIS331
GIPLIT;GIPLITTORAL1;GIP LITTORAL
CCPENNEDAGENAIS;CDC Penne d Agenais
CCE;CC_ESTUAIRE;CDC Estuaire
AURBA;AURBA3
DFCI47;DFCIL47
CACBA;CA_COTE_BASQUE_ADOUR;CA Cote Basque Adour
FDP64;FDP_64
CCM;CC Montesquieu
FNPHP;FNPHP1
MEDDE;MIN_ECOLOGIE
SDIS40;SDIS 40;LOGOSDIS401
DDTM33;DDTM 33
CD24;CG 24
SDIS47;SDIS 47;LOGOSDIS471
